,user2,category,pmi,count_in_class
92,1679.0,random_users,-0.3036017118614117,2.0
93,1688.0,random_users,0.7453078886195349,24.0
94,1720.0,random_users,0.018326383025950806,3.0
95,1723.0,random_users,1.0183263830259506,1.0
96,1821.0,random_users,0.3902951604129087,11.0
97,1888.0,random_users,1.0183263830259508,5.0
98,1901.0,random_users,0.43336388230479445,4.0
99,1922.0,random_users,0.43336388230479445,6.0
100,1942.0,random_users,0.603288883747107,3.0
101,1970.0,random_users,0.5328995558557088,5.0
102,1974.0,random_users,0.01832638302595049,2.0
103,1991.0,random_users,0.603288883747107,12.0
104,2057.0,random_users,-1.0971508343939853,3.0
105,2112.0,random_users,-1.0971508343939853,3.0
106,2172.0,random_users,-0.08550942795858936,67.0
107,2185.0,random_users,0.37447019325122594,16.0
108,2267.0,random_users,0.6963982881385883,4.0
109,2311.0,random_users,-0.9816736169740495,1.0
110,2353.0,random_users,0.01832638302595049,2.0
111,2372.0,random_users,-0.659745522086687,5.0
112,2391.0,random_users,-0.09129810814854744,19.0
113,2397.0,random_users,0.603288883747107,3.0
114,2405.0,random_users,-0.5666361176952055,2.0
115,2426.0,random_users,0.054852259051064466,40.0
116,2435.0,random_users,1.0183263830259506,1.0
117,2438.0,random_users,1.0183263830259508,6.0
118,2468.0,random_users,-0.5666361176952055,1.0
119,2480.0,random_users,0.6963982881385883,4.0
120,2493.0,random_users,1.0183263830259506,4.0
121,2494.0,random_users,-0.17431869491644517,7.0
122,2495.0,random_users,1.0183263830259506,4.0
123,2565.0,random_users,0.21097146096834662,12.0
124,2618.0,random_users,0.7552919771921569,5.0
125,2654.0,random_users,0.6963982881385883,8.0
126,2671.0,random_users,0.3178866648848586,8.0
127,2672.0,random_users,1.0183263830259506,1.0
128,2675.0,random_users,0.21097146096834662,8.0
129,2691.0,random_users,0.43336388230479445,2.0
130,2746.0,random_users,1.0183263830259508,3.0
131,2781.0,random_users,-0.06913645822438885,8.0
132,2784.0,random_users,1.0183263830259508,5.0
133,2796.0,random_users,0.01832638302595049,1.0
134,2806.0,random_users,-0.3036017118614117,2.0
135,2874.0,random_users,0.43336388230479445,4.0
136,2900.0,random_users,0.01832638302595049,2.0
137,2922.0,random_users,-0.18330747814369971,10.0
138,2986.0,random_users,0.6557563036412425,7.0
139,3032.0,random_users,0.34025447791331304,10.0
140,3036.0,random_users,1.0183263830259506,1.0
141,3141.0,random_users,-0.5666361176952055,1.0
142,3219.0,random_users,0.8808228592760157,10.0
143,3252.0,random_users,-0.18330747814369971,10.0
144,3283.0,random_users,0.01832638302595049,1.0
145,3300.0,random_users,-0.2040660383104972,3.0
146,3302.0,random_users,-0.27118023416903425,9.0
147,3364.0,random_users,0.777318283522156,22.0
148,3365.0,random_users,0.8739364736907759,38.0
149,3382.0,random_users,0.1854363688612088,64.0
150,3469.0,random_users,1.0183263830259506,1.0
151,3471.0,random_users,0.10078854321792383,9.0
152,3476.0,random_users,0.477758001663248,22.0
